,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
1739,MSLI US Equity,Merus Labs International Inc.,1.88,$152.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/msli,na,na,0,0
1740,MLAB US Equity,"Mesa Laboratories, Inc.",73.33,$259.25M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mlab,na,na,0,0
1741,CASH US Equity,"Meta Financial Group, Inc.",35.8,$229.88M,1993,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cash,na,na,0,0
1742,MBLX US Equity,"Metabolix, Inc.",0.45,$60.83M,2006,Basic Industries,Containers/Packaging,http://www.nasdaq.com/symbol/mblx,na,na,0,0
1743,MEOH US Equity,Methanex Corporation,51.96,$4.81B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meoh,na,na,0,0
1744,MEIL US Equity,METHES ENERGIES INTERNATIONAL LTD,1.5999,$18.34M,2012,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meil,na,na,0,0
1745,MEILW US Equity,METHES ENERGIES INTERNATIONAL LTD,0.0514,n/a,2012,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meilw,na,na,0,0
1746,MEILZ US Equity,METHES ENERGIES INTERNATIONAL LTD,0.09,n/a,2012,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meilz,na,na,0,0
1747,METR US Equity,"Metro Bancorp, Inc",25.43,$361.28M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/metr,na,na,0,0
1748,MFRI US Equity,"MFRI, Inc.",6.75,$49.21M,1989,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/mfri,na,na,0,0
1749,MGCD US Equity,MGC Diagnostics Corporation,7.1167,$30.39M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mgcd,na,na,0,0
1750,MGEE US Equity,MGE Energy Inc.,43.41,$1.5B,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/mgee,na,na,0,0
1751,MGPI US Equity,"MGP Ingredients, Inc.",14.47,$255.28M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mgpi,na,na,0,0
1752,MCRL US Equity,"Micrel, Incorporated",14.79,$837.96M,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/mcrl,na,na,0,0
1753,MCHP US Equity,Microchip Technology Incorporated,50.925,$10.26B,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/mchp,na,na,0,0
1754,MU US Equity,"Micron Technology, Inc.",32.03,$34.51B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu,na,na,0,0
1755,MICT US Equity,"Micronet Enertec Technologies, Inc.",3.27,$19.07M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mict,na,na,0,0
1756,MICTW US Equity,"Micronet Enertec Technologies, Inc.",0.6501,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mictw,na,na,0,0
1757,MSCC US Equity,Microsemi Corporation,31.14,$2.96B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mscc,na,na,0,0
1758,MSFT US Equity,Microsoft Corporation,43.855,$359.78B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft,na,na,0,0
